ptnum, x, y
 0, -7801666.04568157,  4965505.62545229
 0, -7794231.81120371,  4970666.57254686
 0, -7787618.25196756,  4974181.98345461
 0, -7787031.23406118,  4974281.76368269
 0, -7785261.61871481,  4975468.39226466
 0, -7781482.53020879,  4978811.97552832
 0, -7779517.40136616,  4981102.57445432
 0, -7777147.97719778,  4984374.57871817
 0, -7772691.63985024,  4986302.76283071
 0, -7767291.65117371,  4985713.70040574
 0, -7764719.69473816,  4982899.69699301
 0, -7761738.48227559,  4982127.43128328
 0, -7759576.38255266,  4982282.59184624
 0, -7754449.73714093,  4983460.31633625
 0, -7751471.93898133,  4984787.38010568
 0, -7750056.62467828,  4985095.98588024
 0, -7746547.1581736,  4983909.31424439
 0, -7746103.81386438,  4983992.26006914
 0, -7741859.48087891,  4984786.34833711
 0, -7735666.65596098,  4984139.45161677
 0, -7733206.66967315,  4984474.87994613
 0, -7730711.27299099,  4985334.92065828
 0, -7729452.39829703,  4986304.22485112
 0, -7728635.54133365,  4986597.65896189
 0, -7724078.46357739,  4985534.51348492
 0, -7721630.70554122,  4986132.49737407
 0, -7718233.09892172,  4988078.26235067
 0, -7717314.41661922,  4987394.31109788
 0, -7717402.40174976,  4985786.26049363
 0, -7718677.42382737,  4983340.19937105
 0, -7719896.21333895,  4980025.06305378
 0, -7719754.69369614,  4978345.41963204
 0, -7717420.55484599,  4973677.58768469
 0, -7717073.46645063,  4971502.36614382
 0, -7716305.11856496,  4970744.11167111
 0, -7714243.72440133,  4969910.3036936
 0, -7714055.28529256,  4969238.58778544
 0, -7714227.1638819,  4966878.78410834
 0, -7715745.40703682,  4966083.8880966
 0, -7717804.5065537,  4962667.88164369
 0, -7719124.27384401,  4959507.58226792
 0, -7719966.8703803,  4955641.39668181
 0, -7720064.54379358,  4954115.252649
 0, -7719159.32809741,  4951404.57353491
 0, -7717843.9072791,  4949311.7856912
 0, -7715200.95235454,  4947702.95336174
 0, -7712750.19776869,  4947423.76912285
 0, -7710730.44354476,  4947578.10190971
 0, -7706073.27664196,  4946241.26894888
 0, -7705391.47171763,  4945796.45828304
 0, -7701650.37205873,  4945940.31765759
 0, -7700543.8001532,  4946298.93181944
 0, -7698806.67389121,  4945382.58313498
 0, -7698857.5119318,  4942327.19229383
 0, -7698300.95564377,  4941698.48294686
 0, -7696886.27213734,  4942032.06470914
 0, -7694326.73486898,  4943590.55778447
 0, -7696331.53528719,  4939895.94884755
 0, -7699188.71904213,  4935537.64941835
 0, -7702559.53057024,  4929261.2715522
 0, -7704360.30025674,  4923043.5188769
 0, -7703369.39373731,  4921462.29840522
 0, -7698790.75244691,  4923521.04333444
 0, -7706936.9340195,  4909676.13815622
 0, -7706970.40023162,  4909065.45238862
